FIPS,INCOME_SUM,Winner_n,Winner,Value,Final,Final_pos
1001,148389,Romney,0,-1,-148389,15779110
1003,545063,Romney,0,-1,-545063,15382436
1005,32549,Obama,1,1,32549,15960048
1007,98205,Romney,0,-1,-98205,15829294
1009,267151,Romney,0,-1,-267151,15660348
1011,16410,Obama,1,1,16410,15943909
1013,39792,Romney,0,-1,-39792,15887707
1015,223025,Romney,0,-1,-223025,15704474
1017,99469,Romney,0,-1,-99469,15828030
1019,139784,Romney,0,-1,-139784,15787715
1021,108380,Romney,0,-1,-108380,15819119
1023,19583,Romney,0,-1,-19583,15907916
1025,39417,Romney,0,-1,-39417,15888082
1027,60379,Romney,0,-1,-60379,15867120
1029,96517,Romney,0,-1,-96517,15830982
1031,169065,Romney,0,-1,-169065,15758434
1033,146422,Romney,0,-1,-146422,15781077
1035,72651,Obama,1,1,72651,16000150
1037,99900,Romney,0,-1,-99900,15827599
1039,70547,Romney,0,-1,-70547,15856952
1041,82191,Romney,0,-1,-82191,15845308
1043,230211,Romney,0,-1,-230211,15697288
1045,249986,Romney,0,-1,-249986,15677513
1047,45533,Obama,1,1,45533,15973032
1049,151467,Romney,0,-1,-151467,15776032
1051,261121,Romney,0,-1,-261121,15666378
1053,70791,Romney,0,-1,-70791,15856708
1055,235535,Romney,0,-1,-235535,15691964
1057,43531,Romney,0,-1,-43531,15883968
1059,58905,Romney,0,-1,-58905,15868594
1061,182758,Romney,0,-1,-182758,15744741
1063,9036,Obama,1,1,9036,15936535
1065,23917,Obama,1,1,23917,15951416
1067,123861,Romney,0,-1,-123861,15803638
1069,275666,Romney,0,-1,-275666,15651833
1071,123515,Romney,0,-1,-123515,15803984
1073,2988053,Obama,1,1,2988053,18915552
1075,46052,Romney,0,-1,-46052,15881447
1077,210483,Romney,0,-1,-210483,15717016
1079,170149,Romney,0,-1,-170149,15757350
1081,345368,Romney,0,-1,-345368,15582131
1083,366748,Romney,0,-1,-366748,15560751
1085,49903,Obama,1,1,49903,15977402
1087,234877,Obama,1,1,234877,16162376
1089,1391689,Romney,0,-1,-1391689,14535810
1091,47531,Obama,1,1,47531,15975030
1093,57003,Romney,0,-1,-57003,15870496
1095,241845,Romney,0,-1,-241845,15685654
1097,814693,Romney,0,-1,-814693,15112806
1099,55480,Romney,0,-1,-55480,15872019
1101,580810,Obama,1,1,580810,16508309
1103,336847,Romney,0,-1,-336847,15590652
1105,8194,Obama,1,1,8194,15935693
1107,40289,Romney,0,-1,-40289,15887210
1109,55922,Romney,0,-1,-55922,15871577
1111,44463,Romney,0,-1,-44463,15883036
1113,169913,Obama,1,1,169913,16097412
1115,351551,Romney,0,-1,-351551,15575948
1117,1598308,Romney,0,-1,-1598308,14329191
1119,17146,Obama,1,1,17146,15944645
1121,141380,Romney,0,-1,-141380,15786119
1123,107683,Romney,0,-1,-107683,15819816
1125,514813,Romney,0,-1,-514813,15412686
1127,134339,Romney,0,-1,-134339,15793160
1129,23468,Romney,0,-1,-23468,15904031
1131,24568,Obama,1,1,24568,15952067
1133,75025,Romney,0,-1,-75025,15852474
4001,39773,Obama,1,1,39773,15967272
4003,214140,Romney,0,-1,-214140,15713359
4005,295913,Obama,1,1,295913,16223412
4007,65705,Romney,0,-1,-65705,15861794
4009,47604,Romney,0,-1,-47604,15879895
4011,17440,Romney,0,-1,-17440,15910059
4012,13501,Romney,0,-1,-13501,15913998
4013,12930745,Romney,0,-1,-12930745,2996754
4015,248876,Romney,0,-1,-248876,15678623
